#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:57:03      0   704     6    25    12     0     0
 11:57:04      0   705     6    24    11     0     0
 11:57:05      0   705     6    30    14     0     0
 11:57:06      0   704     6    23    10     0     0
 11:57:07      0   704     6    39    19     0     0
 11:57:08      0   704     6    36    17     0     0
 11:57:09      0   704     6    22    10     0     0
 11:57:10      0   703     6    30    14     0     0
 11:57:11      0   703     6    30    14     0     0
 11:57:12      0   704     6    42    20     0     0
 11:57:13      0   705     6    33    14     0     0
 11:57:14      0   705     6    23    11     0     0
 11:57:15      0   705     6    36    17     0     0
 11:57:16      0   705     6    22    10     0     0
 11:57:17      0   705     6    28    13     0     0
 11:57:18      0   704     6    23    10     0     0
 11:57:19      0   705     6    11     6     0     0
 11:57:20      0   705     6    40    18     0     0
 11:57:21      0   705     6    34    16     0     0
 11:57:22      0   705     6    23    11     0     0
 11:57:23      0   705     6    36    18     0     0
 11:57:25      0   704     6    22    10     0     0
 11:57:26      0   704     6    28    14     0     0
 11:57:27      0   704     6    31    15     0     0
 11:57:28      0   705     6    18     9     0     0
 11:57:29      0   712     6    35    16     0     0
 11:57:30      0   712     6    21     9     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:57:31      0   712     6    18     9     0     0
 11:57:32      0   712     6    21    10     0     0
 11:57:33      0   709     6    21    11     0     0
 11:57:34      0   697     6    21    11     0     0
 11:57:35      0   689     6    21    11     0     0
 11:57:36      0   689     6    21    11     0     0
 11:57:37      0   694     6    21    11     0     0
 11:57:38      0   694     6    27    13     0     0
 11:57:39      0   695     6    21    11     0     0
 11:57:40      0   695     6    21    11     0     0
 11:57:41      0   695     6    21    11     0     0
 11:57:42      0   689     6    21    11     0     0
 11:57:43      0   689     6    22    11     0     0
 11:57:44      0   689     6    22    11     0     0
 11:57:45      0   689     6    23    11     0     0
 11:57:46      0   689     6    22    11     0     0
 11:57:47      0   689     6    21    11     0     0
 11:57:48      0   689     6    22    11     0     0
 11:57:49      0   689     6    22    11     0     0
 11:57:50      0   689     6    22    11     0     0
 11:57:51      0   699     6    22    11     0     0
 11:57:52      0   700     6    40    19     0     0
 11:57:53      0   700     6    40    20     0     0
 11:57:54      0   700     6    24    12     0     0
 11:57:55      0   700     6    11     5     0     0
 11:57:56      0   700     6    20    10     0     0
 11:57:57      0   698     6    22    11     0     0
 11:57:58      0   689     6    22    11     0     0
 11:57:59      0   689     6    22    11     0     0
 11:58:00      0   689     6    22    11     0     0
 11:58:01      0   689     6    23    11     0     0
 11:58:02      0   689     6    22    11     0     0
 11:58:03      0   689     6    22    11     0     0
 11:58:04      0   689     6    22    11     0     0
 11:58:05      0   700     6    22    11     0     0
 11:58:06      0   700     6    41    20     0     0
 11:58:07      0   700     6    30    13     0     0
 11:58:08      0   700     6    22    10     0     0
 11:58:09      0   700     6    36    17     0     0
 11:58:10      0   700     6    13     6     0     0
 11:58:11      0   700     6    32    16     0     0
 11:58:12      0   700     6    30    14     0     0
 11:58:13      0   701     6    23    10     0     0
 11:58:14      0   701     6    36    18     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:58:15      0   701     6    20     9     0     0
 11:58:16      0   701     6    33    16     0     0
 11:58:17      0   701     6    26    12     0     0
 11:58:18      0   694     6    24    11     0     0
 11:58:19      0   694     6    35    17     0     0
 11:58:20      0   694     6    23    10     0     0
 11:58:21      0   701     6    36    18     0     0
 11:58:22      0   702     6    33    16     0     0
 11:58:23      0   702     6    23    11     0     0
 11:58:24      0   702     6    35    18     0     0
 11:58:25      0   702     6    18     9     0     0
 11:58:26      0   702     6    28    13     0     0
 11:58:27      0   701     6    30    14     0     0
 11:58:28      0   701     6    20    10     0     0
 11:58:29      0   701     6    36    17     0     0
 11:58:30      0   701     6    22    10     0     0
 11:58:31      0   700     6    32    15     0     0
 11:58:32      0   700     6    30    14     0     0
 11:58:33      0   700     6    21    10     0     0
 11:58:34      0   700     6    36    17     0     0
 11:58:35      0   700     6    17     8     0     0
 11:58:36      0   701     6    31    15     0     0
 11:58:37      0   700     6    25    11     0     0
 11:58:38      0   700     6    24    11     0     0
 11:58:39      0   701     6    42    21     0     0
 11:58:40      0   701     6    11     6     0     0
 11:58:41      0   701     6    13     7     0     0
 11:58:42      0   700     6    22    12     0     0
 11:58:43      0   700     6    22    11     0     0
 11:58:44      0   689     6    22    11     0     0
 11:58:45      0   689     6    22    11     0     0
 11:58:46      0   689     6    22    11     0     0
